srNo,timestamp,ax,ay,az,gx,gy,gz,temp
0,1661544200247,-0.7957,0.2181,-0.1947,26.64,-17.5,3.74,
1,1661544200248,-0.806,0.1825,0.1104,29.24,-7.42,5.73,
2,1661544200248,-0.7772,0.2791,-0.0116,36.35,-1.0,3.1,
3,1661544200248,-0.7254,0.057,-0.4281,37.23,-3.37,3.64,
4,1661544200248,-0.7776,0.0199,-0.1747,33.45,11.1,1.36,
5,1661544200248,-0.8953,0.4461,0.1788,31.65,-1.5,-0.0,
6,1661544200248,-0.8685,0.1561,-0.4521,33.56,-16.23,-1.83,
7,1661544200248,-0.9818,-0.068,-0.2167,33.36,-15.21,-1.01,
8,1661544200248,-0.8943,0.3421,0.1851,31.54,-7.09,-0.92,
9,1661544200248,-0.9549,0.1195,-0.2777,31.04,-15.54,-2.38,
10,1661544200248,-1.0604,0.0892,-0.0976,34.55,-15.54,-5.3,
11,1661544200248,-0.9861,-0.0661,0.2569,34.96,-13.01,-5.21,
12,1661544200248,-1.0687,-0.026,0.0387,28.95,-11.24,-6.75,
13,1661544200249,-1.0916,-0.049,-0.059,25.57,-6.48,-5.02,
14,1661544200249,-1.1317,-0.2248,0.1202,24.14,-10.14,-2.55,
15,1661544200249,-1.0223,-0.0529,0.2765,25.65,-14.11,-1.83,
16,1661544200249,-1.2132,-0.1476,0.0396,25.76,-13.35,-4.02,
17,1661544200249,-1.22,-0.3073,0.044,24.66,-10.31,-1.56,
18,1661544200249,-1.2093,-0.0544,0.4552,24.14,-2.1,-3.47,
19,1661544200249,-1.3055,-0.1369,0.1583,19.85,-9.97,3.92,
20,1661544200249,-1.242,-0.1984,0.0743,18.86,-18.85,3.1,
21,1661544200249,-1.3118,0.1239,0.8184,17.29,0.62,2.91,
22,1661544200249,-1.2537,0.1117,0.5631,18.36,-9.38,2.73,
23,1661544200249,-1.3123,-0.0519,-0.1332,22.45,2.97,4.19,
24,1661544200249,-1.3011,0.0951,0.566,20.94,10.58,7.11,
25,1661544200249,-1.2269,0.2123,0.3619,16.25,6.78,1.19,
26,1661544200249,-1.1292,0.264,-0.0326,15.58,5.03,-0.0,
27,1661544200250,-1.2176,0.3768,-0.1957,15.64,-0.57,-0.83,
28,1661544200250,-1.1776,0.181,0.2584,21.13,-2.44,-0.09,
29,1661544200250,-1.2567,0.3138,0.0645,20.26,-5.32,2.27,
30,1661544200250,-1.0818,0.556,-0.1083,20.84,-7.09,-0.37,
31,1661544200250,-1.1194,0.2601,0.254,18.56,5.42,0.73,
32,1661544200250,-1.138,0.2743,0.3726,17.95,11.1,1.0,
33,1661544200250,-1.1014,0.4071,0.107,16.74,1.29,-6.56,
34,1661544200250,-1.0735,0.2689,0.1397,18.56,-0.33,-1.65,
35,1661544200250,-1.157,0.2591,0.4293,20.55,0.27,-4.84,
36,1661544200251,-1.0672,0.2318,0.2955,23.96,-3.53,-1.56,
37,1661544200251,-0.9881,0.1302,0.0269,19.36,-2.53,-2.83,
38,1661544200251,-1.0062,0.3143,0.235,16.95,4.75,-1.01,
39,1661544200251,-0.9534,0.1873,0.0069,17.85,1.2,-5.94,
40,1661544200251,-0.845,0.1654,-0.1444,19.35,0.43,-1.47,
41,1661544200251,-0.8851,0.2904,0.0724,21.76,10.0,-1.83,
42,1661544200251,-0.9383,0.1581,0.1764,25.85,-7.94,-0.55,
43,1661544200251,-0.8167,0.0824,-0.0507,20.54,-11.15,2.73,
44,1661544200251,-0.7186,0.6981,0.106,24.05,-14.87,0.18,
45,1661544200251,-0.9061,0.1585,-0.0541,25.35,3.73,3.1,
46,1661544200251,-0.7757,0.1498,-0.0058,29.25,22.09,3.64,
47,1661544200251,-0.7493,0.5008,-0.0419,33.63,20.91,3.37,
48,1661544200251,-0.6942,0.6546,0.0333,26.35,13.63,2.0,
49,1661544200251,-0.6673,0.4212,-0.4164,25.94,-10.22,-0.92,
50,1661544200251,-0.5545,0.1527,-0.3798,29.65,-5.32,6.47,
51,1661544200252,-0.6541,0.6507,-0.0839,28.15,-0.24,-3.19,
52,1661544200252,-0.6302,0.6581,-0.5902,33.14,-2.02,-3.37,
53,1661544200252,-0.7181,0.244,-0.5375,34.15,-3.37,-4.11,
54,1661544200252,-0.8255,0.243,0.0704,31.65,-12.0,-3.19,
55,1661544200252,-0.7249,0.5326,-0.1479,34.46,-25.19,-4.11,
56,1661544200252,-0.7689,0.0789,-0.3275,38.65,-10.9,-2.38,
57,1661544200252,-0.8152,0.1322,0.2018,32.65,-0.83,-2.38,
58,1661544200252,-0.8245,-0.0524,0.0401,30.14,-3.46,0.36,
59,1661544200252,-0.8548,-0.0436,-0.2484,32.46,-14.54,-3.28,
60,1661544200252,-0.8934,-0.2775,0.0929,34.55,-13.1,1.45,
61,1661544200252,-0.9759,-0.2711,0.2091,29.56,-8.95,0.36,
62,1661544200252,-0.886,0.0121,-0.2587,29.65,-15.13,0.18,
63,1661544200252,-1.0662,-0.3698,-0.123,30.93,-1.67,1.45,
64,1661544200252,-1.0257,-0.3878,0.3214,28.55,-6.25,3.55,
65,1661544200252,-0.9603,0.1205,-0.0141,20.54,-14.79,5.02,
66,1661544200252,-1.0223,-0.1027,-0.1537,23.74,-22.91,3.1,
67,1661544200253,-1.157,-0.237,0.2999,27.47,-2.01,3.19,
68,1661544200253,-1.0472,-0.0876,0.3697,26.15,1.96,-0.19,
69,1661544200253,-1.0872,0.1834,-0.099,26.86,-1.84,-2.55,
70,1661544200253,-1.1854,0.0843,0.0636,25.85,-0.74,-2.73,
71,1661544200253,-1.178,-0.0461,0.3834,26.66,0.77,3.64,
72,1661544200254,-1.1253,0.2152,-0.0868,22.05,-12.67,2.18,
73,1661544200254,-1.2259,0.2694,-0.1132,22.93,-19.95,2.18,
74,1661544200254,-1.2029,0.1371,0.1783,24.86,-6.66,1.19,
75,1661544200254,-1.2352,0.0882,0.4659,25.38,-2.85,2.18,
76,1661544200254,-1.2513,0.2694,0.0792,19.96,-3.87,0.18,
77,1661544200254,-1.2645,0.0599,0.1358,21.96,-0.16,-4.2,
78,1661544200254,-1.2108,0.037,0.4601,18.97,-1.41,-4.29,
79,1661544200254,-1.2044,0.0829,0.3726,20.75,-9.04,-2.92,
80,1661544200254,-1.2371,0.1009,0.0157,17.95,-7.26,-3.56,
81,1661544200254,-1.2337,-0.0109,0.2061,17.76,0.94,-3.56,
82,1661544200254,-1.1776,-0.0085,0.4146,19.56,13.37,0.64,
83,1661544200254,-1.1907,0.1761,-0.0463,17.55,3.23,-5.57,
84,1661544200254,-1.0452,-0.0382,-0.0399,14.66,-10.9,-1.47,
85,1661544200254,-1.282,0.0501,0.5948,17.14,-0.24,-2.55,
86,1661544200254,-1.1985,0.1288,0.4527,18.86,-5.56,1.72,
87,1661544200254,-1.2225,0.0829,-0.0233,16.27,-5.06,-0.0,
88,1661544200255,-1.1321,0.2821,0.6212,15.64,10.17,-4.75,
89,1661544200255,-1.1024,0.2367,0.2262,14.68,7.8,0.55,
90,1661544200255,-0.9339,0.4403,-0.0024,17.76,14.73,-5.39,
91,1661544200255,-1.0467,0.5121,0.0797,18.85,6.69,-0.28,
92,1661544200255,-0.9725,0.3304,0.1236,21.44,7.45,-2.73,
93,1661544200255,-0.9759,0.4398,-0.059,24.16,1.87,0.46,
94,1661544200255,-0.9593,0.6952,-0.1547,24.75,2.55,-3.83,
95,1661544200255,-0.8768,0.4403,-0.0639,24.25,-5.15,-6.93,
96,1661544200255,-0.89,0.4706,0.0011,23.56,0.52,-1.28,
97,1661544200255,-0.8026,0.6541,-0.1059,23.15,-5.73,-9.13,
98,1661544200255,-0.8079,0.4359,-0.1566,27.74,-1.0,-5.3,
99,1661544200255,-0.8484,0.4032,0.2071,33.56,0.86,-7.57,
100,1661544200255,-0.8367,0.3373,0.025,31.05,0.69,-9.22,
101,1661544200255,-0.7562,0.2464,-0.1757,30.93,-1.09,-0.73,
102,1661544200255,-0.7337,0.2494,-0.0526,27.96,2.72,-5.57,
103,1661544200255,-0.7274,0.139,-0.1274,25.96,-0.07,-0.09,
104,1661544200256,-0.6976,0.0819,-0.3315,29.65,-0.91,-0.28,
105,1661544200256,-0.8079,0.1834,-0.0941,31.05,0.52,-2.02,
106,1661544200256,-0.6517,-0.0246,-0.1825,32.84,-10.81,4.74,
107,1661544200256,-0.888,-0.0524,-0.0185,27.25,-11.48,-0.83,
108,1661544200256,-0.722,0.1092,-0.1435,28.35,-16.14,0.27,
109,1661544200256,-0.7425,0.0438,-0.1191,29.95,5.18,-0.64,
110,1661544200256,-0.7615,0.2904,0.2306,30.75,12.27,1.72,
111,1661544200256,-0.7786,0.078,-0.2201,34.04,3.65,1.0,
112,1661544200256,-0.7718,-0.0124,-0.0121,33.83,5.42,7.66,
113,1661544200256,-0.9051,0.3768,0.0587,30.75,-9.12,4.38,
114,1661544200256,-0.8372,0.2948,-0.2519,32.15,-13.86,6.93,
115,1661544200256,-0.8953,-0.071,-0.4648,33.05,-10.31,5.37,
116,1661544200256,-0.9031,0.2284,-0.0316,31.74,-2.44,4.74,
117,1661544200256,-0.9095,0.1312,-0.1991,30.95,-15.97,4.56,
118,1661544200256,-0.9647,0.2323,-0.2411,34.84,-19.36,1.0,
119,1661544200256,-0.9891,0.0067,0.1187,31.34,-19.02,2.09,
120,1661544200257,-0.9866,0.0008,0.233,25.25,-6.75,1.54,
121,1661544200257,-1.015,0.1268,0.0997,26.73,-3.37,0.46,
122,1661544200257,-1.0447,-0.049,-0.0732,26.54,-6.42,-1.28,
123,1661544200257,-1.012,-0.0758,0.2682,25.36,-6.59,0.46,
124,1661544200257,-1.1492,0.0228,0.2242,26.15,-8.45,-1.74,
125,1661544200257,-1.1507,-0.2892,-0.2484,31.45,-16.9,-2.73,
126,1661544200257,-1.1541,-0.0944,0.2306,22.75,-9.38,-3.92,
127,1661544200257,-1.3265,-0.1242,0.2066,18.66,-9.29,-3.56,
128,1661544200257,-1.1531,-0.297,-0.1088,18.85,-20.46,-0.73,
129,1661544200257,-1.2933,-0.1574,0.2813,18.28,-6.31,-4.38,
130,1661544200257,-1.2366,0.076,0.7047,18.56,-1.09,-1.19,
131,1661544200257,-1.3099,-0.0983,0.0914,20.55,3.82,-2.73,
132,1661544200257,-1.2606,0.1185,0.4308,19.76,6.52,-2.73,
133,1661544200257,-1.2615,0.0755,0.5079,18.56,4.32,1.0,
134,1661544200257,-1.1971,0.0907,0.3448,16.04,7.28,2.0,
135,1661544200257,-1.2049,0.4647,-0.0541,16.27,-0.57,-1.83,
136,1661544200257,-1.1683,0.1473,0.0157,16.27,0.1,-2.73,
137,1661544200258,-1.2025,0.2918,0.1539,19.64,-1.76,-2.47,
138,1661544200258,-1.0853,0.5457,-0.1708,22.46,-5.82,-6.66,
139,1661544200258,-1.0862,0.3534,-0.1967,24.66,-3.29,-4.38,
140,1661544200258,-1.1522,0.3719,0.2457,18.54,5.42,-4.66,
141,1661544200258,-1.0731,0.4574,0.1231,16.66,-3.79,-7.57,
142,1661544200258,-1.0823,0.2655,0.068,19.35,-0.5,-2.83,
143,1661544200258,-1.1585,0.412,0.4356,21.65,0.43,-10.85,
144,1661544200258,-1.1092,0.1297,0.1705,24.26,-0.24,-5.75,
145,1661544200258,-1.032,0.1068,0.171,21.44,2.8,-8.49,
146,1661544200258,-1.0374,0.4012,0.2745,20.16,7.97,-5.3,
147,1661544200258,-0.9861,0.1678,0.0318,22.93,3.32,0.18,
148,1661544200258,-0.867,0.2723,-0.0717,21.94,2.72,-4.84,
149,1661544200258,-1.0394,0.3075,0.1812,23.26,5.18,-0.83,
150,1661544200258,-0.9881,0.0912,0.1031,28.14,-4.46,-3.28,
151,1661544200258,-0.9251,-0.007,0.045,28.35,-4.56,3.92,
152,1661544200258,-0.8343,0.4754,0.1412,20.16,-8.11,-3.56,
153,1661544200258,-0.8026,0.3172,0.1373,24.34,-1.09,3.19,
154,1661544200258,-0.8367,0.0985,0.0221,28.64,16.0,-0.0,
155,1661544200258,-0.7488,0.1029,-0.1459,28.73,9.82,2.27,
156,1661544200258,-0.8592,0.3846,0.0977,27.56,15.4,1.91,
157,1661544200258,-0.8021,0.764,-0.0214,31.16,-3.2,-6.21,
158,1661544200259,-0.6414,-0.029,-0.6776,32.53,-7.85,-0.37,
159,1661544200259,-0.7239,0.4325,-0.1855,26.64,0.27,-1.19,
160,1661544200259,-0.7088,0.7484,-0.3583,26.95,-5.32,-5.3,
161,1661544200259,-0.6639,0.4466,-0.5497,35.45,-8.69,-4.75,
