srNo,timestamp,ax,ay,az,gx,gy,gz,temp
34832,1661619806855,-1.27,-0.2186,0.1637,-20.47,-3.94,4.22,
34833,1661619806855,-1.2432,-0.1634,0.5836,-24.15,4.94,2.48,
34834,1661619806855,-1.2329,0.1022,0.6818,-18.26,3.17,3.76,
34835,1661619806855,-1.2793,0.0094,0.3283,-12.77,2.58,5.23,
34836,1661619806855,-1.1196,0.2868,0.0978,-14.07,-5.37,0.21,
34837,1661619806855,-1.1382,0.2243,0.3678,-12.07,4.87,2.67,
34838,1661619806855,-1.1294,0.0475,0.2858,-9.15,3.77,4.41,
34839,1661619806855,-1.1079,0.4157,0.0465,-11.96,0.47,1.31,
34840,1661619806855,-0.9502,0.5924,0.1364,-9.76,3.17,-0.25,
34841,1661619806855,-1.085,0.2463,0.3292,-4.76,3.0,2.39,
34842,1661619806855,-1.0064,0.5255,0.2267,3.21,7.74,5.4,
34843,1661619806855,-1.0816,0.4933,0.1242,4.82,4.18,2.94,
34844,1661619806855,-1.0532,0.6559,0.2404,6.12,7.74,6.77,
34845,1661619806855,-1.1416,0.5959,0.5221,9.13,10.62,5.4,
34846,1661619806855,-1.1504,0.401,0.3702,12.01,18.14,9.96,
34847,1661619806855,-1.0137,0.4963,-0.1039,13.81,15.78,6.59,
34848,1661619806855,-1.0059,0.5973,0.0978,16.71,20.51,2.94,
34849,1661619806869,-1.1001,0.339,0.153,17.41,10.1,5.23,
34850,1661619806869,-0.9605,0.6715,-0.1693,19.81,0.47,1.57,
34851,1661619806869,-0.832,0.6305,-0.1044,23.61,-5.45,8.97,
34852,1661619806869,-1.0156,0.5451,0.1075,23.59,-7.83,4.59,
34853,1661619806869,-0.9683,0.4421,0.1237,25.93,-3.08,7.59,
34854,1661619806869,-0.9048,0.4601,0.006,27.7,5.03,4.13,
34855,1661619806869,-0.731,0.7194,-0.0926,31.42,5.87,5.23,
34856,1661619806869,-0.6914,0.6452,0.1774,34.81,18.48,7.04,
34857,1661619806869,-0.8291,0.3908,0.0992,32.31,3.25,3.95,
34858,1661619806869,-0.6426,0.7253,-0.411,31.41,-8.59,3.76,
34859,1661619806869,-0.8648,0.6115,0.358,33.51,-3.42,4.13,
34860,1661619806869,-0.836,0.613,0.0372,39.71,-15.69,1.22,
34861,1661619806869,-0.6875,0.3376,-0.7089,41.11,2.91,2.12,
34862,1661619806869,-0.7905,0.5548,0.3409,38.61,10.86,-3.62,
34863,1661619806869,-0.7554,0.7267,-0.4813,35.71,-12.73,-8.18,
34864,1661619806869,-0.7407,0.0539,-0.1083,38.39,-8.84,-3.35,
34865,1661619806869,-0.874,0.4811,0.3683,38.9,-0.21,-5.91,
34866,1661619806869,-0.8096,0.5285,-0.0243,40.59,-7.07,-8.92,
34867,1661619806869,-0.8301,-0.0692,-0.3309,39.11,4.7,-9.47,
34868,1661619806869,-0.9097,0.0871,0.4679,32.61,14.25,-10.82,
