srNo,timestamp,ax,ay,az,gx,gy,gz,temp
34928,1661550344879,-0.9539,0.0718,-0.1044,26.73,-5.28,-10.45,
34929,1661550344879,-0.9378,0.1011,-0.2005,21.24,-3.76,-3.8,
34930,1661550344880,-0.9524,0.249,0.0997,19.64,-6.72,-3.89,
34931,1661550344880,-0.9827,0.0537,0.2023,22.54,-12.98,-3.43,
34932,1661550344880,-0.9163,-0.0977,-0.2787,25.94,-10.52,-7.72,
34933,1661550344881,-1.0301,-0.1118,0.1754,20.93,14.43,3.77,
34934,1661550344881,-1.0808,-0.186,0.2404,16.55,12.23,-2.97,
34935,1661550344881,-1.0706,-0.2441,-0.4076,16.74,-7.31,1.48,
34936,1661550344882,-1.1429,-0.2202,0.0578,23.65,-8.58,-2.44,
34937,1661550344882,-1.1985,-0.1567,0.2584,22.55,-7.48,1.04,
34938,1661550344883,-0.9309,-0.4097,-0.3148,16.75,-14.41,0.31,
34939,1661550344883,-1.1155,-0.2466,-0.1918,11.05,-16.03,-1.89,
34940,1661550344884,-1.1048,-0.1763,0.3966,12.54,-8.75,-0.79,
34941,1661550344884,-1.2171,-0.2627,-0.1488,13.75,-17.8,4.59,
34942,1661550344885,-1.222,-0.0386,0.2951,11.26,-3.0,1.94,
34943,1661550344885,-1.2508,0.0581,0.5748,7.95,-12.04,1.66,
34944,1661550344886,-1.2659,0.0786,0.1227,9.76,-13.07,-2.61,
34945,1661550344886,-1.1585,-0.0078,0.0958,10.54,-14.17,-1.25,
34946,1661550344886,-1.2908,0.1118,0.3146,12.46,1.4,-0.61,
34947,1661550344888,-1.26,0.2729,0.3981,12.46,3.43,-3.07,
34948,1661550344888,-1.1936,0.1792,-0.0565,11.35,-5.79,2.67,
34949,1661550344888,-1.1585,0.2861,-0.0555,8.54,-7.31,-1.52,
34950,1661550344889,-1.1326,0.2642,0.1486,7.14,-6.55,3.04,
34951,1661550344889,-1.2576,0.1055,0.2521,9.25,-4.52,-3.25,
34952,1661550344890,-1.2649,0.2153,0.0499,9.15,-6.63,-4.71,
34953,1661550344890,-1.2098,0.1616,0.13,8.15,-0.71,-3.07,
34954,1661550344891,-1.115,0.0601,0.1945,9.44,-2.4,2.12,
34955,1661550344891,-1.135,0.1011,0.2462,9.75,7.75,2.95,
34956,1661550344892,-0.9847,0.0762,0.1608,10.95,5.72,5.49,
34957,1661550344892,-1.0833,0.1728,-0.0565,12.86,2.42,1.39,
34958,1661550344892,-1.0711,0.0952,0.0382,11.35,4.02,2.31,
34959,1661550344893,-1.0594,0.1216,0.3322,8.65,1.32,2.76,
34960,1661550344893,-1.0911,0.1641,-0.139,10.74,-4.69,-1.16,
34961,1661550344894,-0.9876,0.0176,-0.0819,11.55,-6.29,0.58,
34962,1661550344894,-1.1722,0.418,0.733,13.24,7.15,-5.08,
34963,1661550344895,-0.9021,0.3164,0.4415,16.34,-0.46,3.68,
34964,1661550344895,-0.9051,0.1846,-0.5096,17.04,-1.9,0.86,
34965,1661550344895,-0.9295,0.4717,0.589,13.24,20.26,2.4,
34966,1661550344896,-1.0603,0.2876,0.4069,16.16,7.32,-1.71,
34967,1661550344896,-0.844,0.4287,-0.5038,15.84,-2.92,-4.07,
34968,1661550344897,-0.7488,0.5273,-0.2074,19.76,5.98,-2.07,
34969,1661550344897,-0.7659,0.5391,0.4923,22.25,19.59,-3.8,
34970,1661550344899,-0.6697,0.5142,-0.4569,24.53,9.35,-3.34,
34971,1661550344899,-0.7224,0.3423,-0.7254,23.15,5.88,0.31,
34972,1661550344899,-0.8504,0.5068,0.3048,20.34,4.36,-4.16,
34973,1661550344899,-0.9163,0.3965,0.3205,24.34,-3.09,-0.33,
34974,1661550344899,-0.7806,0.2759,-0.3631,29.23,-1.64,-2.88,
34975,1661550344899,-0.6463,0.332,-0.4086,27.16,1.23,-3.98,
34976,1661550344900,-0.6761,0.207,0.297,21.96,13.33,-1.16,
34977,1661550344901,-0.7391,0.1118,-0.1727,23.83,-0.37,-4.81,
34978,1661550344901,-0.6946,-0.0205,-0.4691,27.45,1.9,-3.52,
34979,1661550344902,-0.9002,0.1265,0.1408,28.84,6.98,-3.98,
34980,1661550344902,-1.0086,0.2026,0.2648,21.04,8.51,-4.07,
34981,1661550344903,-0.7942,-0.1563,-0.2933,23.24,-4.95,-3.16,
34982,1661550344903,-0.93,-0.0244,-0.4735,21.24,-17.13,-5.9,
34983,1661550344904,-0.8465,-0.0508,0.2062,30.33,-5.19,3.5,
34984,1661550344904,-0.9612,-0.063,0.151,27.05,-4.69,-0.06,
34985,1661550344905,-0.8782,0.0107,-0.0482,21.24,-3.84,-0.79,
34986,1661550344905,-0.9627,-0.1553,-0.1,14.23,-19.23,0.76,
34987,1661550344906,-1.0008,0.0371,0.2936,20.14,-7.56,-4.35,
34988,1661550344906,-0.9329,0.0283,0.2741,28.14,-5.03,-0.43,
34989,1661550344906,-0.9583,-0.0396,-0.3612,25.94,4.62,0.58,
34990,1661550344907,-1.0154,0.0488,0.0104,20.45,4.62,-3.43,
34991,1661550344907,-1.0979,-0.0801,0.2516,19.13,5.38,-1.16,
34992,1661550344908,-1.0198,0.105,-0.1053,19.24,-12.04,-8.09,
34993,1661550344908,-0.9178,-0.0527,-0.6185,21.13,-18.9,-2.61,
34994,1661550344908,-1.1184,-0.1724,0.1452,9.14,-6.63,-1.43,
34995,1661550344909,-1.1292,0.0913,0.298,8.54,-7.65,2.58,
34996,1661550344909,-1.1092,-0.0864,-0.3485,13.12,-8.75,-5.35,
34997,1661550344910,-1.219,0.0322,0.1784,16.74,-7.22,-0.79,
34998,1661550344911,-1.3099,-0.1299,0.7169,13.04,1.15,-1.34,
34999,1661550344911,-1.2058,-0.1094,0.3893,6.74,-6.89,-4.07,
35000,1661550344912,-1.2391,-0.0107,-0.2928,5.75,-12.14,-4.26,
35001,1661550344912,-1.199,-0.044,0.528,9.25,-7.05,-2.53,
35002,1661550344912,-1.4353,0.1318,0.6124,14.66,-6.63,-3.61,
35003,1661550344912,-1.013,-0.0957,-0.2806,19.04,-7.15,-0.98,
35004,1661550344913,-1.2664,-0.0044,0.1232,11.14,-7.39,-1.62,
35005,1661550344913,-1.1438,-0.0606,0.6012,9.86,1.9,0.49,
35006,1661550344914,-1.1131,-0.169,0.1398,9.86,-18.22,0.86,
35007,1661550344914,-1.2391,0.0879,-0.1708,11.46,-5.28,-1.16,
35008,1661550344915,-1.0359,0.0918,0.5524,11.06,-8.15,3.04,
35009,1661550344916,-1.2224,0.1509,0.2521,9.55,-5.88,0.67,
35010,1661550344916,-0.9661,0.125,-0.0003,10.76,-3.16,1.85,
