srNo,timestamp,ax,ay,az,gx,gy,gz,temp
87440,1661545937137,-1.2416,-0.3041,0.2923,-1.51,3.14,1.75,
87441,1661545937137,-1.1493,-0.2005,0.3718,-4.7,-1.85,-5.91,
87442,1661545937139,-1.1103,-0.0428,0.0769,-5.37,0.7,-3.07,
87443,1661545937139,-1.1635,-0.0521,0.2508,-0.62,8.47,-2.7,
87444,1661545937139,-1.123,-0.2113,-0.0891,-1.61,6.7,-4.81,
87445,1661545937140,-1.1567,0.1974,0.1072,-6.19,9.23,-2.43,
87446,1661545937140,-1.2079,0.2677,0.2327,-1.58,4.51,-3.53,
87447,1661545937140,-1.1259,-0.1957,-0.2497,-0.7,-5.07,3.22,
87448,1661545937140,-1.1337,-0.1976,0.0398,-3.51,0.52,0.12,
87449,1661545937142,-1.1249,0.2677,0.3567,-7.29,3.05,-1.07,
87450,1661545937142,-1.101,-0.0848,-0.0691,-5.78,0.53,-1.25,
87451,1661545937142,-1.1059,-0.1664,0.0442,-5.9,4.41,0.21,
87452,1661545937142,-1.1068,0.0109,0.4329,-7.87,4.18,1.66,
87453,1661545937143,-1.1054,-0.0453,0.1228,-5.5,-1.01,6.68,
87454,1661545937143,-1.1186,-0.1156,0.2268,-2.8,6.86,4.96,
87455,1661545937144,-1.0277,0.006,0.3045,-5.5,12.45,2.3,
87456,1661545937144,-0.913,0.1017,0.0501,-11.2,0.18,4.68,
87457,1661545937144,-0.8608,0.1569,-0.2263,-7.41,0.61,5.49,
87458,1661545937145,-1.0702,0.0031,0.135,-2.82,4.91,3.86,
87459,1661545937145,-0.8788,-0.0028,-0.0168,2.09,1.95,4.13,
87460,1661545937146,-0.9936,0.192,-0.0471,-0.7,0.77,4.5,
87461,1661545937146,-0.9364,0.278,0.2224,0.72,14.16,7.6,
87462,1661545937146,-0.8339,0.0885,0.0076,-1.6,1.2,8.24,
87463,1661545937148,-0.6747,0.5246,0.0432,-2.71,5.93,6.59,
87464,1661545937148,-0.8554,0.4938,-0.0202,4.61,1.22,10.51,
87465,1661545937149,-0.9477,0.0006,-0.0481,11.31,13.3,7.78,
87466,1661545937149,-0.9369,0.34,0.2796,10.72,13.56,7.32,
87467,1661545937149,-0.8066,0.6105,-0.2341,2.9,12.78,8.79,
87468,1661545937150,-0.6708,0.6622,-0.4446,1.0,5.6,6.41,
87469,1661545937150,-0.8149,0.422,-0.2917,2.9,2.21,2.85,
87470,1661545937150,-0.8168,0.213,-0.053,7.21,-9.19,3.95,
87471,1661545937151,-0.913,0.735,-0.1242,9.18,-18.51,4.68,
87472,1661545937151,-0.8368,0.6334,-0.0173,14.9,-13.52,3.58,
87473,1661545937152,-0.8871,0.3053,0.0301,16.59,-6.84,-0.25,
87474,1661545937152,-0.808,0.3615,0.0984,10.78,3.48,-0.89,
87475,1661545937152,-0.8651,0.5719,0.0374,7.69,-3.45,-1.16,
87476,1661545937153,-0.872,0.3283,-0.0617,12.07,-2.02,-8.27,
87477,1661545937153,-0.8334,0.1173,0.0579,17.4,-1.51,-4.08,
87478,1661545937154,-0.8559,0.0861,0.0833,15.81,2.99,-2.17,
87479,1661545937154,-0.892,0.192,-0.2068,12.7,-11.07,-7.63,
87480,1661545937155,-0.9203,-0.0082,-0.2366,11.49,-6.93,-5.18,
87481,1661545937155,-1.0331,-0.1048,0.0813,9.18,-2.19,-5.18,
87482,1661545937156,-0.9359,-0.0189,-0.1555,8.29,-1.85,-3.07,
87483,1661545937156,-1.0517,-0.1097,0.0662,8.4,-0.75,2.39,
87484,1661545937156,-1.081,-0.1068,0.283,10.2,-4.21,-1.07,
87485,1661545937157,-1.1093,-0.1254,0.1433,3.1,-20.45,-1.99,
87486,1661545937157,-1.0463,-0.017,-0.0583,4.81,-4.96,-1.35,
87487,1661545937158,-1.1469,-0.0262,0.3113,8.9,20.31,-1.25,
87488,1661545937158,-1.1029,-0.2504,0.0198,5.92,16.26,-0.43,
87489,1661545937159,-1.0443,0.0773,-0.3122,1.7,-1.85,-5.63,
87490,1661545937159,-1.0795,0.1232,0.1521,2.0,-7.27,2.21,
87491,1661545937160,-1.2187,0.0455,0.1726,3.9,-18.77,2.76,
87492,1661545937160,-1.1288,-0.0287,-0.1579,1.33,-26.02,-5.18,
87493,1661545937161,-1.06,0.048,-0.1013,0.6,-9.13,1.4,
87494,1661545937161,-1.1303,0.0651,0.2571,-0.12,0.44,-3.71,
87495,1661545937161,-1.1796,-0.1434,0.1399,-0.32,2.04,-2.8,
87496,1661545937162,-1.1005,-0.1952,0.0589,-0.19,-3.04,-3.16,
87497,1661545937162,-1.1108,-0.0765,0.1731,1.7,-3.38,-6.63,
87498,1661545937163,-1.165,-0.1957,0.1668,2.9,-1.94,-4.35,
87499,1661545937163,-1.1513,-0.4242,0.0232,-3.79,0.85,-1.53,
87500,1661545937164,-1.161,-0.3133,0.2146,-8.89,7.96,-3.8,
87501,1661545937164,-1.2382,-0.4007,0.0701,-10.4,5.26,-0.25,
87502,1661545937166,-1.0888,-0.494,0.0105,-6.8,-1.68,2.39,
87503,1661545937166,-1.1923,-0.3861,0.2996,-6.07,-4.03,1.13,
87504,1661545937166,-1.0526,-0.2518,0.197,-8.01,-2.61,2.03,
87505,1661545937167,-1.2411,-0.3851,0.0911,-9.07,6.04,5.86,
87506,1661545937167,-1.1816,-0.121,0.5662,-11.59,15.48,1.4,
