srNo,timestamp,ax,ay,az,gx,gy,gz,temp
17400,1661617064451,-1.0906,0.4964,0.1443,3.86,9.8,-10.34,
17401,1661617064451,-1.0456,0.308,0.0417,9.58,-1.71,-8.97,
17402,1661617064451,-0.9495,0.4808,0.1453,13.26,-0.85,-10.07,
17403,1661617064451,-1.1814,0.3324,0.4319,14.37,6.08,-8.79,
17404,1661617064451,-1.0745,0.3705,0.3245,12.66,2.95,-7.41,
17405,1661617064451,-0.9592,0.4584,0.2859,17.96,6.43,-5.14,
17406,1661617064451,-1.1272,0.4549,0.4763,24.28,12.76,-4.13,
17407,1661617064451,-0.8655,0.348,-0.1023,28.76,5.57,-0.12,
17408,1661617064463,-0.9978,0.4335,0.3796,32.56,25.7,-5.78,
17409,1661617064463,-0.8328,0.7313,0.3245,35.37,28.58,-7.5,
17410,1661617064463,-0.9021,0.5912,-0.3406,34.16,16.65,-12.25,
17411,1661617064463,-0.8728,0.412,-0.0139,34.56,13.35,-2.41,
17412,1661617064463,-0.761,0.8436,-0.1755,37.86,-9.66,-8.51,
17413,1661617064463,-0.843,0.7289,-0.4456,44.57,-2.8,-1.86,
17414,1661617064463,-0.9343,0.7743,-0.1306,50.87,1.44,-4.5,
17415,1661617064463,-0.7947,0.6766,0.0032,46.46,5.57,-1.77,
17416,1661617064463,-0.9202,0.576,0.0642,47.06,1.18,-8.15,
17417,1661617064463,-0.9441,0.7665,0.0652,52.55,-2.29,-14.34,
17418,1661617064463,-0.8581,0.4559,0.2278,57.77,5.83,-12.34,
17419,1661617064463,-0.8201,0.3465,0.1111,56.62,6.76,-12.43,
17420,1661617064463,-0.8616,0.326,-0.1878,52.75,3.28,-13.9,
17421,1661617064463,-0.8816,0.034,-0.1511,53.14,6.17,-13.17,
17422,1661617064463,-0.8323,-0.0958,-0.1663,54.55,2.02,-15.99,
17423,1661617064463,-0.7629,0.0482,-0.4929,53.66,-5.17,-13.07,
17424,1661617064463,-0.9416,-0.4572,-0.4338,49.76,-17.51,-8.69,
17425,1661617064463,-0.8787,-0.3966,-0.3206,46.16,-23.6,-10.34,
17426,1661617064463,-0.762,-0.5226,-0.323,48.05,-22.84,-9.61,
17427,1661617064463,-0.9641,-0.3414,0.0432,44.07,-10.33,-10.25,
17428,1661617064463,-0.9788,-0.4577,0.1511,42.83,-15.22,-7.41,
17429,1661617064463,-0.9993,-0.6447,0.1653,34.27,-20.73,-6.77,
